category,sub_category,company_url
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/fumeo.fr
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/ecigplanete.com
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/e-vapopote.fr
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/www.oliquide.com
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/www.lepetitvapoteur.com
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/420greenroad-vape.com
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/vapote-market.fr
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/www.inspire-vapestore.com
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/libertyclop.fr
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/www.top-vapo.fr
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/www.cigamania.com
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/sudliquidboutique.com
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/e-vapinpop.fr
"Aliments, boissons & tabac",Magasin de cigarettes électroniques,https://fr.trustpilot.com/review/like-cigarette.fr
"Aliments, boissons & tabac",Magasin de produits gourmets,https://fr.trustpilot.com/review/lecoqgourmet.fr
"Aliments, boissons & tabac",Magasin de thé,https://fr.trustpilot.com/review/boutique.lushan.fr
"Aliments, boissons & tabac",Magasin de thé,https://fr.trustpilot.com/review/kingcbd.fr
"Aliments, boissons & tabac",Magasin de thé,https://fr.trustpilot.com/review/very-thes.com
"Aliments, boissons & tabac",Magasin de vaporiseurs,https://fr.trustpilot.com/review/acheter-fleurs-cbd.fr
"Aliments, boissons & tabac",Magasin de vaporiseurs,https://fr.trustpilot.com/review/revoluvape.com
"Aliments, boissons & tabac",Magasin de vaporiseurs,https://fr.trustpilot.com/review/namastevapes.fr
"Aliments, boissons & tabac",Magasin de vaporiseurs,https://fr.trustpilot.com/review/fleurdecbd.com
"Aliments, boissons & tabac",Magasin de vaporiseurs,https://fr.trustpilot.com/review/mycelia.pswebshop.com
"Aliments, boissons & tabac",Magasin de vins et spiritueux,https://fr.trustpilot.com/review/www.pompe-a-biere.com
"Aliments, boissons & tabac",Magasin de vins et spiritueux,https://fr.trustpilot.com/review/www.lamaisondesrhums.fr
"Aliments, boissons & tabac",Magasin de vins et spiritueux,https://fr.trustpilot.com/review/vintageandco.com
"Aliments, boissons & tabac",Magasin de vins et spiritueux,https://fr.trustpilot.com/review/fancycellar.fr
"Aliments, boissons & tabac",Magasin de vins et spiritueux,https://fr.trustpilot.com/review/www.aperitissimo.fr
"Aliments, boissons & tabac",Magasin de vins et spiritueux,https://fr.trustpilot.com/review/oeforgood.com
"Aliments, boissons & tabac",Magasin de vins et spiritueux,https://fr.trustpilot.com/review/oenocar.fr
"Aliments, boissons & tabac",Magasin de vins et spiritueux,https://fr.trustpilot.com/review/jewelrydrinks.com
"Aliments, boissons & tabac",Magasin de vins et spiritueux,https://fr.trustpilot.com/review/www.rhumattitude.com
"Aliments, boissons & tabac",Magasin de vins et spiritueux,https://fr.trustpilot.com/review/www.comptoirdesvignes.fr
"Aliments, boissons & tabac",Magasin de vins et spiritueux,https://fr.trustpilot.com/review/monwhisky.fr
"Aliments, boissons & tabac",Magasin de vins et spiritueux,https://fr.trustpilot.com/review/www.alloceltia.com
"Aliments, boissons & tabac",Magasin de vins et spiritueux,https://fr.trustpilot.com/review/urban-drinks.fr
"Aliments, boissons & tabac",Marché aux poissons et fruits de mer,https://fr.trustpilot.com/review/www.peche-maison.fr
"Aliments, boissons & tabac",Saladerie,https://fr.trustpilot.com/review/aquidelice.fr
"Aliments, boissons & tabac",Service de traiteur,https://fr.trustpilot.com/review/phileas-lounge.fr
"Aliments, boissons & tabac",Service de traiteur,https://fr.trustpilot.com/review/www.club-cafe-gourmet.fr
"Aliments, boissons & tabac",Service de traiteur,https://fr.trustpilot.com/review/www.mediterraneegastronomie.com
"Aliments, boissons & tabac",Service de traiteur,https://fr.trustpilot.com/review/maxicoffee.com
"Aliments, boissons & tabac",Service de traiteur,https://fr.trustpilot.com/review/www.exclusive-restaurants.com
"Aliments, boissons & tabac",Service de traiteur,https://fr.trustpilot.com/review/labelleassiette.fr
"Aliments, boissons & tabac",Service de traiteur,https://fr.trustpilot.com/review/www.chacunsoncafe.fr
"Aliments, boissons & tabac",Service de traiteur,https://fr.trustpilot.com/review/traiteur-mediterranee-toulouse.com
"Aliments, boissons & tabac",Service de traiteur,https://fr.trustpilot.com/review/www.sainpack.fr
"Aliments, boissons & tabac",Supermarché,https://fr.trustpilot.com/review/www.carrefour.fr
"Aliments, boissons & tabac",Supermarché,https://fr.trustpilot.com/review/www.e-leclerc.com
"Aliments, boissons & tabac",Supermarché,https://fr.trustpilot.com/review/chronodrive.com
"Aliments, boissons & tabac",Supermarché,https://fr.trustpilot.com/review/www.eurasie-shop.com
"Aliments, boissons & tabac",Supermarché,https://fr.trustpilot.com/review/www.houra.fr
"Aliments, boissons & tabac",Supermarché,https://fr.trustpilot.com/review/www.intermarche.com
"Aliments, boissons & tabac",Supermarché,https://fr.trustpilot.com/review/www.epices-du-monde.com
"Aliments, boissons & tabac",Supermarché,https://fr.trustpilot.com/review/asiamarche.fr
"Aliments, boissons & tabac",Supermarché,https://fr.trustpilot.com/review/www.cdiscountpro.com
"Aliments, boissons & tabac",Supermarché,https://fr.trustpilot.com/review/www.bethcacher.com
"Aliments, boissons & tabac",Supermarché,https://fr.trustpilot.com/review/entre2courses.com
"Aliments, boissons & tabac",Supermarché,https://fr.trustpilot.com/review/entrepotitalien.fr
"Aliments, boissons & tabac",Supermarché,https://fr.trustpilot.com/review/www.kerbio.fr
"Aliments, boissons & tabac",Supermarché,https://fr.trustpilot.com/review/alsastore.fr
"Aliments, boissons & tabac",Supermarché,https://fr.trustpilot.com/review/www.auchandrive.fr
"Aliments, boissons & tabac",Traiteur,https://fr.trustpilot.com/review/aquidelice.fr
